ItemNumber,Giro,Genero,Articulo,Material_o_Especificaciones,Attr_o_Gauge,Medida,MedidaAd,Color,Distribuidora,Empaque,Precio,MinOrder,TermEntrega,TermPago,CodSinDist,CodConDist
865,3,1,C Clamp,C-CLAMP TOLSEN,10113,4,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
873,3,1,C Clamp,C-CLAMP TOLSEN,10114,6,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
875,3,1,C Clamp,C-CLAMP TOLSEN,10115,8,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
1866,3,1,C Clamp,C-CLAMP TRUPER,17662,5,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
6244,3,1,C Clamp,C-CLAMP TRUPER,PNT-3,3,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
1837,3,1,C Clamp,C-CLAMP TRUPER,PNT-4,4,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
1835,3,1,C Clamp,C-CLAMP TRUPER,PNT-6,6,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
1836,3,1,C Clamp,C-CLAMP TRUPER,PNT-8,8,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
644,3,7,Cable,C/ACERO 1/4 CR,S/FORRO,250,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
803,3,7,Cable,C/ACERO 1/4 KH,S/FORRO,250,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
1167,3,7,Cable,C/ACERO 1/4-5/16 CR,FORR,200,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
645,3,7,Cable,C/ACERO 1/4-5/16 KH,FORR,200,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
5010,3,7,Cable,C/ACERO 1/8 CR,S/FORRO,250,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
3891,3,7,Cable,C/ACERO 1/8 KH,S/FORR,250,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
4868,3,7,Cable,C/ACERO 1/8-3/16 CR,FORR,200,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
1939,3,7,Cable,C/ACERO 1/8-3/16 KH,FORR,200,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
1367,3,7,Cable,C/ACERO 1/8-5/32 CR,FORR,200,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
643,3,7,Cable,C/ACERO 3/16 CR,S/FORRO,250,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
821,3,7,Cable,C/ACERO 3/16 KH,S/FORRO,250,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
1369,3,7,Cable,C/ACERO 3/16-1/4 CR,FORR,200,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
4874,3,7,Cable,C/ACERO 3/16-1/4 KH,FORR,200,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
5339,3,7,Cable,C/ACERO 3/32-1/8,FORR,250,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
646,3,7,Cable,C/ACERO 3/32-1/8 KH,FORR,200,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
3106,3,7,Cable,C/ACERO 3/8 KH,S/FORRO,250,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
1170,3,7,Cable,C/ACERO 5/16-3/8 CR,FORR,200,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
1168,3,7,Cable,C/ACERO 5/16-3/8 KH,FORR,200,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
4426,3,7,C/Bola,C/BOLA ROUTER,22562,,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
2595,3,5,Corta Frío,C/FRIO 1,,10,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
4668,3,5,Corta Frío,C/FRIO 1,,12,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
3918,3,5,Corta Frío,C/FRIO 1,C-1X12,12,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
6197,3,5,Corta Frío,C/FRIO 1,C-1X8,8,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
3917,3,5,Corta Frío,C/FRIO 1,C1X10,10,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
4061,3,5,Corta Frío,C/FRIO 1 C/PROT,12273,10,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
4068,3,5,Corta Frío,C/FRIO 1 C/PROT,12276,8,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
